scope,event_id,match_id,evaluation_fold
ALL,07507772-e632-4840-9c04-896926e6fa4a,3930182,3
ALL,076ad6c1-8242-4414-9b12-e4f50a28f24d,3869254,4
ALL,07825e17-3134-4064-96e9-080220cc8a76,3869220,0
ALL,0792a5d9-bffd-43cc-a121-ca2db050c8ca,3930182,3
ALL,079333d4-649e-4d73-b43e-ff420afdc8c9,3857290,2
ALL,07b9673e-4d13-4cdd-92c9-93d3c3dac310,3930165,3
ALL,07dbeb9f-2747-499d-91f9-280197aaf763,3930160,4
ALL,07dc04ad-3485-4d12-a624-1f94002f527a,3869219,1
ALL,07dd37b7-f075-43bb-af9e-8120d70c9b48,3857285,1
ALL,07e4382f-24b0-4055-b0b4-f5c046abe708,3869151,0
ALL,08018838-00e5-457a-858c-fa5497877878,3941017,1
ALL,08088e85-71c4-4097-848d-d1e8c17d028a,3869151,0
ALL,0825cb8c-b71e-4d9d-bb88-ded3f0b5e28d,3930176,0
ALL,0853b21a-af84-4026-997c-739007c6d542,3938637,4
ALL,085c4cc5-5019-4131-b6da-af314a9125d6,3857273,0
ALL,08921e39-1efc-42ad-9157-8b86f3485dec,3930179,4
ALL,08d3d405-254b-48a0-9f16-ed90791d4422,3930180,1
ALL,08d436f7-9ff4-49cd-be15-33d5c33c9ca1,3943043,1
ALL,08d59d09-ac55-419d-b272-349ee5dab188,3857268,4
ALL,08dd7a2f-2f20-4bba-a202-331fa55bbdf3,3857290,2
ALL,08f8281a-750a-4e1b-8e37-df3e5b6d023f,3942226,3
ALL,09033db6-b1d3-4dbb-9ce0-ca07d24dc0b9,3857260,1
ALL,0905b406-93de-4e29-9bd9-1ec216989084,3869684,2
ALL,0918e2c5-9171-48e2-8595-069d7f92462a,3930174,2
ALL,0936c136-20bc-413c-a5dc-271cc649565f,3857283,3
ALL,09381288-4fa3-4e09-9407-10d5a6d9d37c,3930184,1
ALL,094a1788-85c9-40c5-b9d8-6e51db08d70b,3930178,3
ALL,095da489-5e71-4f85-961f-5f47bbca3251,3857254,0
ALL,096f4aed-7442-46cf-9035-99aecc45a6ee,3941017,1
ALL,096fcc02-be70-4ca8-ace2-bda22f401823,3930169,2
ALL,09765697-ff8f-4bc0-b270-f83c3fa6b6cb,3938643,1
ALL,0980520c-440d-4556-8465-282f4bb528cb,3857295,2
ALL,0982ea2c-70a9-4314-ad0f-f517a305a9fd,3857268,4
ALL,099a97cf-ab67-4414-bee8-765563ffe2b6,3857276,2
ALL,09b19a0f-e813-461c-98db-37265b9efe71,3869354,3
ALL,09b840f3-530d-4c38-acd4-1fc55a122fe1,3857282,1
ALL,09c62a5b-74ce-4d90-8058-3cd112c6ff9a,3869254,4
ALL,09ce4621-57da-4f33-8a46-0eb77fbae231,3938643,1
ALL,09de4f7c-090f-4ee3-9113-82f67537c17e,3930174,2
ALL,09fcea3a-3c22-4b02-8179-0a91b4c0ccce,3942752,2
ALL,0a07b296-bfa4-4128-b776-774fa3cf1af6,3869151,0
ALL,0a121fcb-e843-4186-9559-c33d733f9c27,3857267,2
ALL,0a15a3ff-06ab-4350-82b9-e2e75befe7c2,3857296,1
ALL,0a15a47f-1114-40ac-ad51-87786a2b5faf,3930173,4
ALL,0a2fca1a-8ca8-4d4f-9bb5-b9b004e2e323,3942382,0
ALL,0a3d1af3-ceac-4656-b16d-f5a932e8fcf6,3943043,1
ALL,0a47c0e6-0d94-4a20-818c-794d649aa83a,3938637,4
ALL,0a4abd9f-dc7b-42fa-b01d-f3339bdbd0d0,3930171,1
ALL,0a572679-3c31-4d13-af11-5568ac56bd12,3857301,1
ALL,0a68858f-b0a2-4551-bb66-80bc92691d2b,3857262,4
ALL,0a709b7b-2b78-46be-b360-a4c406d9d51d,3857270,3
ALL,0a70d8a6-5b33-44ec-bd97-f516e91c3858,3930183,3
ALL,0a7e80d4-6f03-407b-98b4-e09d065de6ee,3857268,4
ALL,0a92321e-bf10-435a-ab7b-aad37af28fa9,3930179,4
ALL,0ab65e70-b914-4543-b842-e1d0fc89f6b0,3930182,3
ALL,0ab78cc6-9eac-44e8-9850-7bdad90f4b05,3857273,0
ALL,0aba83db-9490-4db7-9a0e-02b82eb8f27a,3857299,4
ALL,0abc40f2-7748-45ce-bc58-42e7aff5bb3d,3857262,4
ALL,0abeacd0-229e-4f2d-82f6-f39e03053b91,3869321,0
ALL,0abf2e1c-3f66-431a-8b07-92e6ef633123,3869253,2
ALL,0acab1fc-b41f-49b6-8330-32bd71bc8a4d,3857261,4
ALL,0ad13f55-eb2e-46ee-b306-342d55fa81c3,3869354,3
ALL,0af7587a-5f73-41b4-8902-d7a0bd1a3c64,3930163,3
ALL,0b09e322-3577-478f-aa70-2647791c0c81,3930168,2
ALL,0b0b702f-2151-4d70-b6fe-5852d0293b42,3857293,4
ALL,0b23928c-19aa-4b2e-941a-2f32db1b05c2,3930184,1
ALL,0b2dfe42-ce99-4b9b-ac00-2a3681b8bee8,3857297,2
ALL,0b35abb8-d543-442b-8f16-e68ac80ac55c,3942349,4
ALL,0b479e6a-7fe1-4c4a-8d4e-2455efa1a2e4,3930182,3
ALL,0b4ee925-ff1e-4e2c-aa1c-73e59a47c712,3869254,4
ALL,0b50ef54-9807-4763-84dd-b0473edf01b1,3930174,2
ALL,0b51e5eb-3f0f-4d9d-8234-81ef7cbac69c,3869552,4
ALL,0b6c5473-6766-4fcc-9fa6-3ae54c6eb60a,3941017,1
ALL,0b7f663d-9366-4d15-a4f0-55cada1cab9d,3941017,1
ALL,0b8ae613-8b23-4e7c-b066-216fd6a4dc31,3941017,1
ALL,0b9f4e96-7318-4050-9317-67178a1a86f9,3869219,1
ALL,0ba67e7c-a21d-4ccd-af30-b65721eabdcb,3857293,4
ALL,0bb14ec5-37a9-4851-987f-e6ad3a47eff8,3857284,0
ALL,0bb34966-56af-4751-b6d6-f067f0f3f5ac,3930175,3
ALL,0bbad813-b0dc-41e4-873c-3a46f8b39d07,3869117,2
ALL,0bdc302b-b400-44aa-8429-aa3e08cf351f,3857254,0
ALL,0bf0abfc-70da-489c-aba7-acbc7cf651ec,3857256,0
ALL,0bfc79dd-94a7-42fa-951e-5d7c2a3d085a,3930160,4
ALL,0c080613-e83d-43bb-8135-323ac07ec2e8,3869486,1
ALL,0c0ad9bb-910c-4311-8223-4688467ef2ed,3857286,1
ALL,0c0f02ea-ecf0-418e-af4c-08e9817bbec3,3930166,4
ALL,0c2d96a2-b1ed-4ae2-b9d6-18413d08b578,3857287,1
ALL,0c35a7d6-7a2b-41de-9837-079db939445c,3869685,1
ALL,0c3b68a1-1c85-41e1-a864-6b98a3ca3586,3930174,2
ALL,0c440ed4-f9b4-455a-9290-967baf09bd2a,3942752,2
ALL,0c58349e-a3b7-47c1-9910-beeb91577206,3857259,0
ALL,0c5fd3d1-28c6-4935-9337-6393ce7c3fa5,3930182,3
ALL,0c617aa4-040b-4d17-ab02-ea4320655421,3857290,2
ALL,0c6ecf3b-729b-49eb-aba2-5cc33b8499ee,3930161,4
ALL,0c79d9f9-f7d1-40d6-95b9-dd8fc23e606e,3930179,4
ALL,0c7ef273-2a59-4718-81aa-34abb941b76c,3869117,2
ALL,0c8c449b-c7c1-425a-bd2b-3f80ab072087,3869219,1
ALL,0c8cbabd-2aae-4707-9888-ffd1bc91b07b,3857285,1
ALL,0ca0f6cf-622b-4622-9dd8-07496acb933a,3857284,0
ALL,0cae69de-7da8-4be0-99a7-7914f5fe433e,3930160,4
ALL,0cb3ff06-1857-4a28-894e-6fc1b3a4d7b6,3930180,1
ALL,0cbfae4b-efae-41a0-80e0-015b4004a183,3930163,3
ALL,0cda9ff4-01ff-4888-9999-93b2ed9d52f7,3869420,0
ALL,0cdced7e-4d3b-4da2-8dde-aba0f980be81,3857265,1
ALL,0cdf1ee7-d061-4fe7-a4dd-9140cf820ada,3930184,1
ALL,0cf89e34-8992-46e6-93ae-b54cc367e6d4,3938643,1
ALL,0cfcc878-ea65-4e83-b95a-1b7499876034,3942226,3
ALL,0d02ff4a-d449-4c66-8ced-686dbc738557,3938641,2
ALL,0d05a2d9-147a-4828-9193-13b786d8f3ee,3941019,0
ALL,0d3484c3-f83a-4aaf-b7d8-8893f6b9f1c4,3938640,3
ALL,0d45a556-3403-4554-9cd6-81b75679d75e,3938640,3
ALL,0d463c10-e620-4ae0-96f0-dea972a1967e,3938637,4
ALL,0d47f0d6-f2ea-4aae-8489-e6b7be51fcd8,3857264,2
ALL,0d64e4ae-4435-4cbb-9e2c-8ed898663db9,3857256,0
ALL,0d6863c0-88f4-471d-b7c6-c2bbeae7ec55,3942819,4
ALL,0d7380cb-0b01-49f5-bb62-0467fcc85476,3930181,0
ALL,0d802053-efa9-44cf-8a61-658fa89bf1be,3942382,0
ALL,0d969488-717e-4606-afd5-653f2eba1291,3857301,1
ALL,0d97cdd0-9b5d-4df5-b9d8-e0b6041f14e0,3930169,2
ALL,0db63d78-c2f4-4a23-8dc3-5d48398aa23c,3857296,1
ALL,0dccf698-c115-4eb0-9ab5-a74778dae95b,3857301,1
ALL,0dd086e3-34f0-4497-97bf-f884fc315724,3930171,1
ALL,0dedb748-7425-4a56-b436-7056e83a24c9,3930181,0
ALL,0dfce91c-2ddb-41b8-a32c-e62eab4c765d,3857260,1
ALL,0e07f32d-3168-48cf-9ed9-a300d3725c4f,3857267,2
ALL,0e1419d0-47bb-4b69-92ec-8c7db1f8e914,3857273,0
ALL,0e1e8209-7eb4-45a4-b87f-7a1cf00c516b,3869219,1
ALL,0e31d349-8682-4c9f-a782-0fc874e03335,3942349,4
ALL,0e33044e-39aa-402c-b6a8-0fea79a99b0b,3930161,4
ALL,0e3db327-8b0e-4c4d-a09e-6a3291ad8b9f,3869354,3
ALL,0e42f033-be45-41e2-a92f-f04d31e9148e,3857279,1
ALL,0e60c02f-9679-4751-9373-6b5174e1fd92,3857265,1
ALL,0e6a1468-4191-46af-95e2-a3ea3b6286d1,3869354,3
ALL,0e7378fe-b6de-49f4-8052-b68104c34c2b,3857300,0
ALL,0e95e70a-22b0-40fa-a78b-75660b46cd15,3930184,1
ALL,0e99f2af-3f98-45e4-994f-14ce42e3d692,3942226,3
ALL,0ea3ecfc-18e8-47f9-8026-b8d724f2973f,3857292,0
ALL,0ed967e4-8448-48fc-9ab5-7cdae84f4eb1,3930160,4
ALL,0ed9b375-38a1-4e85-8297-27ebe8efe1ac,3857264,2
ALL,0ee5877d-4022-4603-960a-f8c8477a268f,3857294,2
ALL,0eefdf3a-1b98-429f-8d00-76f89934a9eb,3857255,0
ALL,0efc53a5-d357-4e78-8733-8e2bacb3ef04,3869118,1
ALL,0f330918-cd5f-4a63-9f61-a32d389108fb,3930171,1
ALL,0f358b49-4ab5-4024-b71b-635aa85a07be,3857266,2
ALL,0f392a60-14c6-4c37-8dcc-590e9efa84a5,3869519,1
ALL,0f4103b2-20c3-435e-8f62-8f4e22e1f3bb,3942227,4
ALL,0f4c650f-b9b5-4a7a-9d9e-58e3f5450ef3,3857263,0
ALL,0f532e3c-02ff-47d0-8bde-09d89738946d,3869354,3
ALL,0f555a02-4e9b-48bd-95d9-a064745378c8,3857258,2
ALL,0f6cf36f-00d1-4cf6-a912-b168ec7efb2c,3857301,1
ALL,0f6ec512-85a9-4c31-a17f-83b41c1bd8a0,3930176,0
ALL,0f75d0be-3e31-4d68-828d-c5d9b4b73d4f,3869152,3
ALL,0f8926f0-5100-4e8d-bc56-73078a0b901d,3857257,2
ALL,0fc6e9ee-951d-4432-bf9f-034b7a244d19,3869420,0
ALL,0fcb58b2-4d16-4cc5-a2e7-bc6f3dd37a08,3869684,2
ALL,0fd3e8bd-1057-4f91-9d73-0b02810afa37,3857261,4
ALL,0fd8fae6-c3c5-426f-9735-de2434e0694a,3930159,0
ALL,0ff587f1-cb26-41ee-b416-734e249de8be,3857257,2
ALL,0ff8923b-484c-4a39-b5be-4543f841680c,3857284,0
ALL,0ff8a029-7c54-4204-9195-6ac692dfee06,3930169,2
ALL,10134fa6-a377-425f-9cde-04af0e713de8,3857285,1
ALL,1033eb2f-1406-4cc9-98bc-cc0a4b342dff,3938645,1
ALL,1043e827-26d3-467f-b10d-ede0d9d1a43a,3942752,2
ALL,1050b019-062d-4128-83db-ba8320110424,3938638,3
ALL,10541708-ea9d-4bee-9196-e09e147fc624,3857290,2
ALL,1054d491-648e-466e-95b0-0ec6a3556f61,3930170,4
ALL,10665270-d778-4be0-8613-3ef83369e9da,3857286,1
ALL,10c3f065-1311-48f9-bb7e-9f7e4cf8ece6,3857284,0
ALL,10c77f75-ccbb-4372-a12a-1fe904d7e9d3,3857281,4
ALL,10d7c2b6-bb01-4d63-9d7a-6cf310775b7d,3857268,4
ALL,10e13fe7-3aed-410a-a3a6-d455bbffe123,3857290,2
ALL,10f8ae55-9f42-4d10-befc-bfb4ffb453ca,3857267,2
ALL,10fa14ad-d30a-4513-9bfb-57c8f13e9e42,3938641,2
ALL,11233b20-9478-478f-86a0-f3f6739b39fa,3857297,2
ALL,113533b3-d29a-47ad-8ce6-d7d111efaa26,3857273,0
ALL,11371057-fff6-4085-ac36-60b82826fdf7,3857261,4
ALL,113c8d20-3bae-4405-9ebe-0ab29148be12,3869321,0
ALL,1152e960-e3ed-4a28-a909-640daf6620b4,3869321,0
ALL,1171a2da-d4a3-456b-982f-383b66425380,3857300,0
ALL,1175b479-2d96-4a1f-b8c8-4d0a132a8de8,3857283,3
ALL,118487b9-2f3d-4e71-90c6-60224f4395a3,3938640,3
ALL,1185667d-4525-43f7-b286-c46b8c399be8,3857265,1
ALL,1185f550-2530-4602-b2ee-6a8bc6ee6f77,3857299,4
ALL,11922c71-f767-4954-822f-30c8fa9813d0,3938643,1
ALL,1198eec8-9e22-4ec0-853b-85925d8df980,3930181,0
ALL,11a0f570-1cc4-4522-a4b2-a0d92cf2e801,3938644,3
ALL,11b07a74-7236-482a-857b-55712576b765,3941017,1
ALL,11c1c18c-145b-4664-9b6c-cc2097f1885d,3869684,2
ALL,11d4f9ec-4610-4331-ac07-58aa11e6af28,3930184,1
ALL,11d9981d-0593-4558-9cee-c6be8d0364e1,3857261,4
ALL,11e7295b-259c-4a7e-b578-b38e7120252b,3938640,3
ALL,11f92ad9-e68a-4f1e-bd7b-244e2be17027,3930178,3
ALL,12151809-22dc-4ab8-92ea-1f7e528b8f01,3857255,0
ALL,1231392e-54c8-4913-b9c0-e5fae0d50c0c,3938638,3
ALL,124ab55e-b2a4-40cd-9e2c-8b6c130a4208,3857285,1
ALL,124c9d22-7301-45c6-8ead-7f431d16459b,3930176,0
ALL,1268352e-a6bd-4c5e-a022-843555abfea3,3930162,0
ALL,126bb646-e3da-4891-afa6-44b4fae5df67,3857293,4
ALL,126c3ae3-c9d1-4512-8dbf-00767be41a52,3941020,3
ALL,127f42f9-e304-44a5-b8b1-05afa5375cee,3857263,0
ALL,128731d3-dd46-42c3-93ca-f93237817332,3943043,1
ALL,129677cc-8756-46d5-ad11-6cc128fcddbe,3930174,2
ALL,1297ba10-bf96-4041-ae8c-bdd6be83d0b5,3869219,1
ALL,129bfd87-e989-4b5c-8ca8-ea58fd989daa,3930174,2
ALL,129f4d54-7850-49c7-b019-14faeb83bfdc,3930183,3
ALL,129fb95d-1ba7-4fa5-9961-5d6e4db71b31,3941017,1
ALL,12a64162-30b5-4a35-ab8a-8fc2390da08d,3941019,0
ALL,12b67f88-7e50-4364-a7d9-8bd1894152b6,3857286,1
ALL,12bc848c-f43a-44b5-b5c4-4a8540abe932,3857282,1
ALL,12de4d0d-be7a-4245-a559-dd63dda1ea10,3938640,3
ALL,12e195ba-72c3-48e5-a456-fc3356d0dc7c,3938641,2
ALL,12e30be0-e0b9-4315-9783-c8663f0a3533,3869220,0
ALL,132b5bf7-fe6b-498b-a294-a6f2b9304469,3942752,2
ALL,1330238d-dd05-4218-a927-e4fbe8bcbc7b,3930168,2
ALL,1330cf79-e914-4f10-8f7d-64f32e3455b9,3941021,3
ALL,133be0ed-f585-44c5-a50d-be321bedc463,3869253,2
ALL,1353266a-cd0c-402d-adda-2d1f47802911,3930165,3
ALL,136147b3-ca80-4356-92d0-488b87f00359,3869321,0
ALL,137f189e-4e5c-410c-8f63-037787cc86c2,3930168,2
ALL,138866d9-cbcd-40f3-a3b2-c17a9d4d37a2,3941017,1
ALL,13b6ec10-9e89-4f7e-b1d6-74f007f4f666,3930177,4
ALL,13d6bd86-0929-4c57-baed-791661d69780,3930164,4
ALL,13dd22b9-3606-4d21-8794-86df069bf2f7,3930175,3
ALL,13e090e4-3b62-4213-8231-4343fb52e541,3930170,4
ALL,13e3d3ae-2c5f-43e8-82ed-097fc0b0b075,3857286,1
ALL,13ec1307-9e6c-408d-9a9c-8ad788e4a18a,3942382,0
ALL,14077ecf-99d6-4b5d-9ed3-4da64f75a800,3869254,4
ALL,14203a9a-7a13-46a5-94a2-b3a0e969e8ec,3869685,1
ALL,14390a7b-8dfa-436a-b258-bcbf6525e667,3869220,0
ALL,143ff6ab-3635-47fb-a40c-4ac8041d15b2,3869321,0
ALL,14430222-dca4-433b-bfc4-4b20b606f82a,3857280,2
ALL,144915f9-8b42-4fde-9d2a-e6df181ccfb8,3869321,0
ALL,144c70fb-3fca-45c4-a05e-ad62753d38f0,3930182,3
ALL,145811b0-dda5-414e-a35c-4f176a70a9f7,3938637,4
ALL,145ddd30-9406-4dba-9baa-fbb8a66c58aa,3869684,2
ALL,146b3d8d-42f2-479d-8ce8-9a03ee838063,3857300,0
ALL,1478cbb7-2dc0-4a37-82f3-a983ba94d135,3857256,0
ALL,1482398f-61fa-499f-aa53-ca6b784357b8,3857275,0
ALL,148a0317-6175-46fc-8923-4002c69341de,3930163,3
ALL,14b6e730-8651-40cc-9607-fa84d9ad420f,3869118,1
ALL,14c05f7c-3dfc-4d1f-9a56-7d2b79a82d84,3857293,4
ALL,14c10d83-8132-4060-9349-b8f94b604326,3869254,4
ALL,14c21f20-e652-4039-a248-7eb9f469db84,3857277,2
ALL,14c6598b-16f2-48e6-b267-4ec4e4d5612d,3857290,2
ALL,14ce036a-9af0-480a-88e2-94eb0b149aa0,3930164,4
ALL,14d3e686-9d8e-44ec-938c-afcfaffe608a,3930161,4
ALL,14d52082-e55b-47fc-b8f1-f1bc4196a0ad,3941022,2
ALL,14dfe9ce-cdb5-45e2-a085-16e0aeabc384,3857279,1
ALL,14e88ce1-6f49-45e3-a836-be28a6433740,3857266,2
ALL,14fcfff2-64cc-4464-b6d5-6c2e72b0bb73,3857288,4
ALL,1500fdf9-88a4-4ca3-b3b7-d35da75d36e9,3942349,4
ALL,15063151-39bc-473e-9c84-ccafb4eec191,3857260,1
ALL,150c54bf-bba7-430c-b118-d3c82b6d1226,3941021,3
ALL,15166b62-2ac9-4658-a376-1da167c4e521,3857259,0
ALL,151dcf7d-c35f-41c1-8aa9-63c8bcaac4db,3930178,3
ALL,152304bb-55a1-464a-b2ba-329860379821,3942227,4
ALL,1531dfad-812e-4203-ab92-4b3a5f9d3d41,3930172,0
ALL,153b4234-79b3-4e57-b5bc-693f70f7fc65,3930176,0
